File Name,Error (degree),Yaxis Error (um)
r00000_17_08_16_0448.jpg,0.0000,0.0000
r00000_17_08_16_0449.jpg,-.1562,0.0000
r00000_17_08_16_0450.jpg,-.1617,0.0000
r00000_17_08_16_0451.jpg,-.1395,0.0000
r00000_17_08_16_0452.jpg,.0119,-117.8511
r00000_17_08_16_0453.jpg,-.0877,-117.8511
r00000_17_08_16_0454.jpg,-.1506,-235.7023
r00000_17_08_16_0455.jpg,.476,-117.8511
r00000_17_08_16_0456.jpg,-.194,-235.7023
r00000_17_08_16_0457.jpg,-.0877,-117.8511
r00000_17_08_16_0458.jpg,-.1395,-117.8511
r00000_17_08_16_0459.jpg,-.1562,-117.8511
r00001_17_08_16_0500.jpg,.8046,117.8511
r00001_17_08_16_0501.jpg,-.1671,0.0000
r00001_17_08_16_0502.jpg,-.035,0.0000
r00001_17_08_16_0503.jpg,-.1339,0.0000
r00001_17_08_16_0504.jpg,-.1282,-117.8511
r00001_17_08_16_0505.jpg,-.1833,-235.7023
r00001_17_08_16_0506.jpg,-.1506,-235.7023
r00001_17_08_16_0507.jpg,-.122,-353.5534
r00001_17_08_16_0508.jpg,-.1887,-235.7023
r00001_17_08_16_0509.jpg,-.035,-235.7023
r00001_17_08_16_0510.jpg,-.0177,-117.8511
r00001_17_08_16_0511.jpg,-.1562,-117.8511
r00002_17_08_16_0512.jpg,-.0118,0.0000
r00002_17_08_16_0513.jpg,-.2314,-117.8511
r00002_17_08_16_0514.jpg,-.1617,0.0000
r00002_17_08_16_0515.jpg,-.194,-117.8511
r00002_17_08_16_0516.jpg,-.1824,-353.5534
r00002_17_08_16_0517.jpg,-.0818,-117.8511
r00002_17_08_16_0518.jpg,-.1562,-235.7023
r00002_17_08_16_0519.jpg,-.1725,-235.7023
r00002_17_08_16_0520.jpg,-.0936,-117.8511
r00002_17_08_16_0521.jpg,-.1725,-235.7023
r00002_17_08_16_0522.jpg,-.1395,-117.8511
r00002_17_08_16_0523.jpg,-.1405,-235.7023
r00003_17_08_16_0524.jpg,.006,0.0000
r00003_17_08_16_0525.jpg,-.1617,0.0000
r00003_17_08_16_0526.jpg,-.1725,0.0000
r00003_17_08_16_0527.jpg,-.178,-117.8511
